Employee ID,FullName,Gender,Age,HireDate,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,AnnualSalary,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
E02002,Kai Le,Male,47,2/5/2022,Marketing,Single,Sales,Sales Executive,Travel_Rarely,92368,10,3,4,55,3,2,4,1,No,12,4,10,2,2,10,7,0,8,No,3
E02003,Robert Patel,Male,58,10/23/2013,Marketing,Single,Sales,Sales Executive,Travel_Rarely,45703,14,4,4,42,3,2,1,2,No,12,4,20,2,3,7,7,1,7,No,3
E02004,Cameron Lo,Male,34,3/24/2019,Life Sciences,Married,Sales,Sales Executive,Travel_Frequently,83576,5,4,4,48,2,3,1,5,Yes,21,3,20,2,3,18,13,1,12,No,4
E02005,Harper Castillo,Female,39,4/7/2018,Human Resources,Divorced,Human Resources,Manager,Travel_Rarely,98062,10,4,2,73,2,5,4,3,No,15,2,23,2,2,21,6,12,6,No,3
E02006,Harper Dominguez,Female,42,6/18/2005,Marketing,Single,Sales,Sales Executive,Travel_Rarely,175391,16,4,1,84,3,2,1,8,No,14,4,10,1,3,2,2,2,2,No,3
E02007,Ezra Vu,Male,62,4/22/2004,Life Sciences,Divorced,Development,Developer,Travel_Frequently,66227,10,2,4,32,3,3,1,1,No,21,3,9,4,2,9,7,1,7,No,4
E02008,Jade Hu,Female,58,6/27/2009,Marketing,Married,Sales,Sales Representative,Travel_Rarely,89744,8,4,4,54,3,1,2,7,No,15,4,4,2,3,2,2,2,2,No,3
E02009,Miles Chang,Male,62,2/19/1999,Life Sciences,Single,Development,Developer,Travel_Rarely,69674,1,2,1,67,1,1,2,7,Yes,13,4,10,4,3,7,7,3,7,Yes,3
E02010,Gianna Holmes,Female,38,9/9/2011,Life Sciences,Married,Development,Developer,Non-Travel,97630,8,3,1,63,4,3,1,9,No,14,1,10,2,3,8,7,0,5,No,3
E02011,Jameson Thomas,Male,52,2/5/2015,Life Sciences,Single,Development,Developer,Travel_Rarely,105879,1,3,3,81,3,3,3,4,Yes,14,4,10,4,4,1,0,0,0,No,3
